indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,mapping_tier,mapping_rationale,clinical_domain,canonical_group,pops_available,non_eur_pops_available,source_verified,candidate_status,reviewer_decision,reviewer_notes,analysis_role,locked_mapping_tier,locking_reason,mapping_uid
D003093,"Colitis, Ulcerative","Colitis, Ulcerative",26,26,2,24,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_634333116025d981
D003424,Crohn Disease,Crohn Disease,19,19,1,18,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_26febf47fe8b8908
D001172,"Arthritis, Rheumatoid","Arthritis, Rheumatoid",15,15,3,12,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_aa1939a68293babc
D011565,Psoriasis,Psoriasis,12,12,3,9,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_4622f64ab4d34b48
D001327,Autoimmune Diseases,Autoimmune Diseases,10,10,0,10,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_50ca9096d3ba259e
D008180,"Lupus Erythematosus, Systemic","Lupus Erythematosus, Systemic",10,10,0,10,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_d1a60aa57181f93a
D015212,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases,9,9,0,9,Pan-UKB,Pan-UKB::biomarkers|30710|both_sexes||irnt,C-reactive protein,biomarkers|30710|both_sexes||irnt,GRCh37,Proxy biomarker,CRP is a nonspecific inflammatory biomarker and does not represent the disease endpoint.,inflammation,c_reactive_protein,"CSA,EUR",CSA,True,REVIEW,,,REJECT,Proxy biomarker,CRP is too nonspecific to represent this disease indication.,map_2049743a91d7c865
D008107,Liver Diseases,Liver Diseases,3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,biomarkers|30620|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,alanine_aminotransferase,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,REJECT,Proxy biomarker,Broad indication; available liver markers cannot identify a specific disease process.,map_acaae942f63f61cb
D008107,Liver Diseases,Liver Diseases,3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,biomarkers|30600|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic,albumin,"AFR,CSA,EUR","AFR,CSA",True,REVIEW,,,REJECT,Proxy biomarker,Broad indication; available liver markers cannot identify a specific disease process.,map_3e48eb51cc21a700
D008107,Liver Diseases,Liver Diseases,3,3,0,3,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,biomarkers|30610|both_sexes||irnt,GRCh37,Proxy biomarker,Liver enzymes and albumin measure hepatic injury or function rather than a specific liver diagnosis.,hepatic_bone,alkaline_phosphatase,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,REJECT,Proxy biomarker,Broad indication; available liver markers cannot identify a specific disease process.,map_140cb98f2653b914
