indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,mapping_tier,mapping_rationale,clinical_domain,canonical_group,pops_available,non_eur_pops_available,source_verified,candidate_status,reviewer_decision,reviewer_notes,analysis_role,locked_mapping_tier,locking_reason,mapping_uid
D009765,Obesity,Obesity,31,31,4,27,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,Direct quantitative readout,BMI and waist circumference directly measure adiposity.,anthropometry,body_mass_index,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_0b18d3fa6d5f91c0
D001249,Asthma,Asthma,29,29,4,25,GBMI,GBMI::Asthma,Asthma,Asthma,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,Asthma,"AFR,AMR,CSA,EAS,EUR","AFR,AMR,CSA,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_142944bd2f968395
D006949,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,ldl_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_8442195d65e17d61
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,COPD,GRCh38,Direct disease,The GBMI endpoint is an exact or clinically equivalent disease endpoint.,direct_disease,COPD,"AFR,AMR,EAS,EUR","AFR,AMR,EAS",True,REVIEW,,,PRIMARY,Direct disease,Locked as the single primary representation of this indication.,map_c342a950924fe3b4
D006973,Hypertension,Hypertension,19,19,8,11,Pan-UKB,Pan-UKB::continuous|4080|both_sexes||irnt,"Systolic blood pressure, automated reading",continuous|4080|both_sexes||irnt,GRCh37,Direct quantitative readout,Blood pressure is the defining quantitative phenotype.,blood_pressure,systolic_blood_pressure,"CSA,EAS,EUR","CSA,EAS",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_51438025f9ca1f25
D003924,"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2",18,18,9,9,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,Direct quantitative readout,HbA1c is a standard quantitative measure of chronic glycemia.,glycemia,hba1c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_ae8d9a8f89a7795e
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,biomarkers|30780|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,ldl_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_50cd2496568d9c63
D015228,Hypertriglyceridemia,Hypertriglyceridemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,biomarkers|30870|both_sexes||irnt,GRCh37,Direct quantitative readout,Triglyceride concentration directly represents hypertriglyceridemia.,lipids,triglycerides,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_e34c5f2ec9867915
D003920,Diabetes Mellitus,Diabetes Mellitus,13,13,2,11,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),biomarkers|30750|both_sexes||irnt,GRCh37,Direct quantitative readout,HbA1c is a standard quantitative measure of chronic glycemia.,glycemia,hba1c,"CSA,EUR,MID","CSA,MID",True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_0c8c975606285aeb
D000740,Anemia,Anemia,11,11,4,7,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,continuous|30020|both_sexes||irnt,GRCh37,Direct quantitative readout,Standard red-cell measures characterize anemia and major subtypes.,hematology,haemoglobin,"CSA,EUR",CSA,True,REVIEW,,,PRIMARY,Direct quantitative readout,Locked as the single primary representation of this indication.,map_e6f7fc7e1a195345
