indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,mapping_tier,mapping_rationale,clinical_domain,canonical_group,pops_available,non_eur_pops_available,source_verified,candidate_status,reviewer_decision,reviewer_notes,analysis_role,locked_mapping_tier,locking_reason,mapping_uid
D009765,Obesity,Obesity,31,31,4,27,Pan-UKB,Pan-UKB::continuous|48|both_sexes||irnt,Waist circumference,continuous|48|both_sexes||irnt,GRCh37,Direct quantitative readout,BMI and waist circumference directly measure adiposity.,anthropometry,waist_circumference,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_89b2b7c6b871d268
D001249,Asthma,Asthma,29,29,4,25,Pan-UKB,Pan-UKB::continuous|30150|both_sexes||irnt,Eosinophill count,continuous|30150|both_sexes||irnt,GRCh37,Proxy biomarker,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",hematology_allergy,eosinophil_count,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_cb8244ded7498122
D001249,Asthma,Asthma,29,29,4,25,Pan-UKB,Pan-UKB::continuous|3063|both_sexes||irnt,Forced expiratory volume in 1-second (FEV1),continuous|3063|both_sexes||irnt,GRCh37,Proxy biomarker,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",pulmonary,fev1,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_59356df4843aaef1
D001249,Asthma,Asthma,29,29,4,25,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),continuous|3062|both_sexes||irnt,GRCh37,Proxy biomarker,"Eosinophils and spirometry measure allergic inflammation or airway physiology, not asthma diagnosis itself.",pulmonary,fvc,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Proxy biomarker,Retained only for prespecified sensitivity analysis.,map_8f3487c5d3ef8b41
D006949,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,apolipoprotein_b,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_431e4b5a762bae69
D006949,Hyperlipidemias,Hyperlipidemias,22,22,4,18,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,total_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_c7d4a03a9508b750
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,Pan-UKB,Pan-UKB::continuous|3063|both_sexes||irnt,Forced expiratory volume in 1-second (FEV1),continuous|3063|both_sexes||irnt,GRCh37,Closely related phenotype,Spirometry measures airflow limitation central to COPD but is not the disease endpoint.,pulmonary,fev1,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Closely related phenotype,Retained only for prespecified sensitivity analysis.,map_3b5ef0a073ff5fa0
D029424,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",20,20,3,17,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),continuous|3062|both_sexes||irnt,GRCh37,Closely related phenotype,Spirometry measures airflow limitation central to COPD but is not the disease endpoint.,pulmonary,fvc,"AFR,CSA,EUR,MID","AFR,CSA,MID",True,REVIEW,,,SENSITIVITY,Closely related phenotype,Retained only for prespecified sensitivity analysis.,map_16d098169734a13c
D006973,Hypertension,Hypertension,19,19,8,11,Pan-UKB,Pan-UKB::continuous|4079|both_sexes||irnt,"Diastolic blood pressure, automated reading",continuous|4079|both_sexes||irnt,GRCh37,Direct quantitative readout,Blood pressure is the defining quantitative phenotype.,blood_pressure,diastolic_blood_pressure,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_a10198eb08d8bca6
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30640|both_sexes||irnt,Apolipoprotein B,biomarkers|30640|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,apolipoprotein_b,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_505723e622d14ef9
D006937,Hypercholesterolemia,Hypercholesterolemia,14,14,3,11,Pan-UKB,Pan-UKB::biomarkers|30690|both_sexes||irnt,Cholesterol,biomarkers|30690|both_sexes||irnt,GRCh37,Direct quantitative readout,Circulating lipid measure directly represents the indication construct.,lipids,total_cholesterol,"CSA,EUR",CSA,True,REVIEW,,,SENSITIVITY,Direct quantitative readout,Retained only for prespecified sensitivity analysis.,map_53025b2483451588
