panukb_phenotype_id,trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,pops,num_pops,pops_pass_qc,num_pops_pass_qc,is_binary,is_quantitative,is_both_sexes,filename,filename_tabix,aws_path,aws_path_tabix,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID
biomarkers|30600|both_sexes||irnt,biomarkers,30600,both_sexes,,irnt,Albumin,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"AFR,CSA,EUR",3,False,True,True,biomarkers-30600-both_sexes-irnt.tsv.bgz,biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30600-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30600-both_sexes-irnt.tsv.bgz.tbi,5759.0,856.0,7694.0,2340.0,367192.0,1364.0,,,,,,,PASS,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30610|both_sexes||irnt,biomarkers,30610,both_sexes,,irnt,Alkaline phosphatase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR,MID",3,False,True,True,biomarkers-30610-both_sexes-irnt.tsv.bgz,biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30610-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30610-both_sexes-irnt.tsv.bgz.tbi,6216.0,938.0,8422.0,2572.0,400988.0,1497.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
biomarkers|30620|both_sexes||irnt,biomarkers,30620,both_sexes,,irnt,Alanine aminotransferase,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"AFR,CSA,EUR",3,False,True,True,biomarkers-30620-both_sexes-irnt.tsv.bgz,biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30620-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30620-both_sexes-irnt.tsv.bgz.tbi,6214.0,937.0,8407.0,2570.0,400822.0,1499.0,,,,,,,PASS,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30630|both_sexes||irnt,biomarkers,30630,both_sexes,,irnt,Apolipoprotein A,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR,MID",3,False,True,True,biomarkers-30630-both_sexes-irnt.tsv.bgz,biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30630-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30630-both_sexes-irnt.tsv.bgz.tbi,5732.0,846.0,7679.0,2325.0,364987.0,1360.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
biomarkers|30640|both_sexes||irnt,biomarkers,30640,both_sexes,,irnt,Apolipoprotein B,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30640-both_sexes-irnt.tsv.bgz,biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30640-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30640-both_sexes-irnt.tsv.bgz.tbi,6169.0,932.0,8352.0,2553.0,399003.0,1496.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30670|both_sexes||irnt,biomarkers,30670,both_sexes,,irnt,Urea,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30670-both_sexes-irnt.tsv.bgz,biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30670-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30670-both_sexes-irnt.tsv.bgz.tbi,6213.0,938.0,8422.0,2569.0,400687.0,1497.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30680|both_sexes||irnt,biomarkers,30680,both_sexes,,irnt,Calcium,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30680-both_sexes-irnt.tsv.bgz,biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30680-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30680-both_sexes-irnt.tsv.bgz.tbi,5758.0,856.0,7697.0,2344.0,367050.0,1361.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
biomarkers|30690|both_sexes||irnt,biomarkers,30690,both_sexes,,irnt,Cholesterol,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30690-both_sexes-irnt.tsv.bgz,biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30690-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30690-both_sexes-irnt.tsv.bgz.tbi,6212.0,938.0,8422.0,2572.0,400963.0,1500.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,out_of_bounds_lambda
biomarkers|30700|both_sexes||irnt,biomarkers,30700,both_sexes,,irnt,Creatinine,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR,MID",3,False,True,True,biomarkers-30700-both_sexes-irnt.tsv.bgz,biomarkers-30700-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30700-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30700-both_sexes-irnt.tsv.bgz.tbi,6212.0,937.0,8422.0,2571.0,400761.0,1498.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,PASS
biomarkers|30710|both_sexes||irnt,biomarkers,30710,both_sexes,,irnt,C-reactive protein,,,Biological samples > Assay results > Blood assays > Blood biochemistry,"AFR,AMR,CSA,EAS,EUR,MID",6,"CSA,EUR",2,False,True,True,biomarkers-30710-both_sexes-irnt.tsv.bgz,biomarkers-30710-both_sexes-irnt.tsv.bgz.tbi,s3://pan-ukb-us-east-1/sumstats_flat_files/biomarkers-30710-both_sexes-irnt.tsv.bgz,s3://pan-ukb-us-east-1/sumstats_flat_files_tabix/biomarkers-30710-both_sexes-irnt.tsv.bgz.tbi,6203.0,937.0,8397.0,2564.0,400094.0,1498.0,,,,,,,h2_z_insignificant,n_too_low,PASS,h2_z_insignificant,PASS,h2_z_insignificant
